City Name,Country,Latitude,Longitude,Max Temperature (*F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
Xining,CN,36.6167,101.7667,34.61,67,0,0.76
Kavieng,PG,-2.5744,150.7967,83.16,75,62,8.16
Newton,US,42.337,-71.2092,21.2,58,82,5.75
Zemio,CF,5.0314,25.1361,63.7,34,76,1.86
Upington,ZA,-28.4478,21.2561,68.0,88,99,6.91
Ozernovskiy,RU,51.5,156.5167,25.05,93,100,14.32
Belmonte,BR,-15.8631,-38.8828,77.0,78,0,6.91
Lake City,US,30.1897,-82.6393,68.0,94,90,1.59
Puerto de la Cruz,ES,28.414,-16.5487,62.01,75,30,5.99
Meulaboh,ID,4.1363,96.1285,79.74,85,100,4.68
Dingle,PH,10.9995,122.6711,83.12,74,5,3.38
Tilichiki,RU,60.4667,166.1,-7.37,90,87,11.45
Tobol,KZ,52.6844,62.5794,-2.47,92,81,8.1
Tuatapere,NZ,-46.1333,167.6833,52.38,85,100,14.56
Pskov,RU,57.8136,28.3496,10.4,79,100,6.71
Pisco,PE,-13.7,-76.2167,73.4,78,40,12.66
Saint Anthony,US,45.0205,-93.218,3.2,55,1,9.22
Kaitangata,NZ,-46.2817,169.8464,57.0,63,100,32.01
Fare,PF,-16.7,-151.0167,80.47,74,1,20.54
